Date,Lan,Subdomain,Session Organic Sessions,Session Organic Active Users,Session Organic New Users,Engagement Ratio,Average session duration,Key Event Counts
2026-04-09,EN,www.vidmud.com,905,780,210,58.2,74.1,18
2026-04-10,EN,www.vidmud.com,930,801,225,57.6,72.4,19
2026-04-11,EN,www.vidmud.com,960,818,240,59.1,73.2,21
2026-04-12,EN,www.vidmud.com,980,840,248,60.2,75.1,22
2026-04-13,EN,www.vidmud.com,1005,861,256,59.8,76.4,23
2026-04-14,EN,www.vidmud.com,990,850,250,58.9,74.6,22
2026-04-15,EN,www.vidmud.com,1010,870,260,60.1,77.2,24
2026-05-07,EN,www.vidmud.com,1110,948,280,61.5,79.4,28
2026-05-08,EN,www.vidmud.com,1135,962,290,61.2,80.1,29
2026-05-09,EN,www.vidmud.com,1148,974,292,60.8,78.9,28
2026-05-10,EN,www.vidmud.com,1180,1005,301,62.1,81.5,31
2026-05-11,EN,www.vidmud.com,1195,1018,308,62.4,82.1,32
2026-05-12,EN,www.vidmud.com,1210,1030,311,61.9,81.8,32
2026-05-13,EN,www.vidmud.com,1225,1044,315,63.0,83.5,34
2026-05-14,EN,www.vidmud.com,1188,1010,300,60.7,78.8,29
2026-05-15,EN,www.vidmud.com,1230,1052,318,62.7,82.9,33
2026-05-16,EN,www.vidmud.com,1250,1068,322,63.1,84.0,35
2026-05-17,EN,www.vidmud.com,1265,1080,327,62.9,83.4,34
2026-05-18,EN,www.vidmud.com,1278,1091,330,63.4,84.7,36
2026-05-19,EN,www.vidmud.com,1290,1105,334,63.8,85.1,36
2026-05-20,EN,www.vidmud.com,1305,1112,338,64.0,85.8,37
2026-05-21,EN,www.vidmud.com,1320,1126,341,63.7,84.9,37
2026-05-22,EN,www.vidmud.com,1345,1148,350,64.5,86.3,39
2026-05-23,EN,www.vidmud.com,1330,1136,346,64.1,85.7,38
2026-05-24,EN,www.vidmud.com,1350,1150,352,64.4,86.5,39
2026-05-25,EN,www.vidmud.com,1368,1165,356,64.8,87.1,40
2026-05-26,EN,www.vidmud.com,1380,1178,360,65.0,87.6,41
2026-05-27,EN,www.vidmud.com,1480,1105,365,62.8,84.2,39
2026-05-28,EN,www.vidmud.com,1425,1210,372,65.4,88.3,42
2026-05-29,EN,www.vidmud.com,1410,1198,368,64.9,87.8,41
2026-05-30,EN,www.vidmud.com,1405,1192,366,64.7,87.2,40
2026-05-31,EN,www.vidmud.com,1398,1187,360,64.3,86.8,40
2026-06-01,EN,www.vidmud.com,1370,1160,352,63.8,85.0,38
2026-06-02,EN,www.vidmud.com,1320,1118,340,62.6,82.5,35
2026-06-03,EN,www.vidmud.com,1240,1028,318,61.0,80.2,31
