Date,Lan,Subdomain,Clicks,Impressions,CTR,Position
2026-04-09,EN,www.vidmud.com,700,58000,1.21%,14.2
2026-04-10,EN,www.vidmud.com,725,59500,1.22%,14.1
2026-04-11,EN,www.vidmud.com,742,61000,1.22%,13.9
2026-04-12,EN,www.vidmud.com,760,62500,1.22%,13.8
2026-04-13,EN,www.vidmud.com,780,63800,1.22%,13.7
2026-04-14,EN,www.vidmud.com,770,63200,1.22%,13.8
2026-04-15,EN,www.vidmud.com,795,65000,1.22%,13.6
2026-05-07,EN,www.vidmud.com,850,69000,1.23%,13.1
2026-05-08,EN,www.vidmud.com,868,70500,1.23%,13.0
2026-05-09,EN,www.vidmud.com,876,71200,1.23%,12.9
2026-05-10,EN,www.vidmud.com,895,72500,1.23%,12.8
2026-05-11,EN,www.vidmud.com,912,73800,1.24%,12.7
2026-05-12,EN,www.vidmud.com,926,74800,1.24%,12.6
2026-05-13,EN,www.vidmud.com,938,76000,1.23%,12.6
2026-05-14,EN,www.vidmud.com,910,75500,1.21%,12.7
2026-05-15,EN,www.vidmud.com,940,76800,1.22%,12.5
2026-05-16,EN,www.vidmud.com,955,77500,1.23%,12.4
2026-05-17,EN,www.vidmud.com,970,78500,1.24%,12.3
2026-05-18,EN,www.vidmud.com,982,79200,1.24%,12.2
2026-05-19,EN,www.vidmud.com,995,80000,1.24%,12.1
2026-05-20,EN,www.vidmud.com,1010,81200,1.24%,12.0
2026-05-21,EN,www.vidmud.com,1025,82000,1.25%,11.9
2026-05-22,EN,www.vidmud.com,1042,83200,1.25%,11.8
2026-05-23,EN,www.vidmud.com,1035,82800,1.25%,11.8
2026-05-24,EN,www.vidmud.com,1050,83500,1.26%,11.7
2026-05-25,EN,www.vidmud.com,1065,84200,1.26%,11.6
2026-05-26,EN,www.vidmud.com,1080,85000,1.27%,11.5
2026-05-27,EN,www.vidmud.com,988,70000,1.41%,11.4
2026-05-28,EN,www.vidmud.com,1110,86800,1.28%,11.3
2026-05-29,EN,www.vidmud.com,1102,86200,1.28%,11.3
2026-05-30,EN,www.vidmud.com,1095,85800,1.28%,11.3
2026-05-31,EN,www.vidmud.com,1088,85500,1.27%,11.4
2026-06-01,EN,www.vidmud.com,1010,84000,1.20%,11.8
2026-06-02,EN,www.vidmud.com,960,83000,1.16%,12.1
2026-06-03,EN,www.vidmud.com,906,82000,1.10%,12.5
